MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	102.57642	Sec
Channel 1 Displacement	Channel 1 Force	Time
mm	N	Sec
-0.11374775	0.34892744	14.487549
-0.11588319	-1.1660364	14.587646
-0.11776979	-4.1646156	14.687744
-0.11836046	2.7512228	14.787842
-0.11950571	2.2619431	14.887939
-0.11852562	2.1961732	14.988037
-0.11879005	2.5600595	15.088135
-0.12037759	-1.1955407	15.188232
-0.12160988	-2.2712183	15.28833
-0.12128426	2.3861072	15.388428
-0.12438638	1.3891077	15.488525
-0.1206764	3.2327166	15.588623
-0.12544143	-0.019671433	15.688721
-0.12658606	-4.3301678	15.788818
-0.12399423	-0.6396715	15.888916
-0.12840903	3.2374291	15.989014
-0.1270521	2.0353339	16.089111
-0.1283423	-0.95561337	16.189209
-0.12900665	2.0679114	16.289307
-0.1311955	-2.2222493	16.389404
-0.13219303	-3.0188653	16.489502
-0.13136107	1.4200462	16.5896
-0.13265654	0.85208839	16.689697
-0.13112468	-0.82161468	16.789795
-0.13310681	0.25877541	16.889893
-0.13369237	-1.4707092	16.98999
-0.1378962	0.80189008	17.090088
-0.13559473	1.4407402	17.190186
-0.13642055	-1.1506696	17.290283
-0.13887306	-1.2994204	17.390381
-0.1395478	-1.382811	17.490479
-0.13818374	-3.0623024	17.590576
-0.14122482	-0.34544805	17.690674
-0.14244995	-0.19444342	17.790771
-0.14329149	-2.5136042	17.890869
-0.1422721	2.5758362	17.990967
-0.14363164	-1.8057059	18.091064
-0.14817537	2.0123861	18.191162
-0.14483282	3.0036485	18.29126
-0.14643346	1.2575676	18.391357
-0.14995718	-2.26794	18.491455
-0.14644553	1.8706014	18.591553
-0.15022469	2.1404428	18.69165
-0.14947459	3.2204232	18.791748
-0.14867558	3.1083477	18.891846
-0.15049034	2.091269	18.991943
-0.15156566	1.6566952	19.092041
-0.15036958	2.1500728	19.192139
-0.15497185	0.83344328	19.292236
-0.1560512	1.129101	19.392334
-0.15363681	4.0743575	19.492432
-0.15588793	3.4064641	19.592529
-0.15730764	0.1839902	19.692627
-0.15751681	1.7753271	19.792725
-0.16110229	-1.2053754	19.892822
-0.15742266	0.082774051	19.99292
-0.15824665	1.1489755	20.093018
-0.16010231	2.3566029	20.193115
-0.15925811	0.71727014	20.293213
-0.16339946	2.8858361	20.393311
-0.16323942	2.7467153	20.493408
-0.16288616	3.1003571	20.593506
-0.16509777	2.4533114	20.693604
-0.16677639	1.0123131	20.793701
-0.16781671	0.34011713	20.893799
-0.16497825	5.5657587	20.993896
-0.16747922	1.3335822	21.093994
-0.16709507	0.028682835	21.194092
-0.16817734	1.8181493	21.294189
-0.17229863	3.3992929	21.394287
-0.17040548	0.27864984	21.494385
-0.17279039	-0.31737798	21.594482
-0.1707968	1.4253733	21.69458
-0.17451838	5.4768362	21.794678
-0.17420463	1.0332121	21.894775
-0.17598072	0.070685484	21.994873
-0.17452636	0.89224702	22.094971
-0.17394	6.675858	22.195068
-0.17986624	2.3281229	22.295166
-0.179961	1.4161533	22.395264
-0.17876458	-0.72715998	22.495361
-0.18158993	-0.035857819	22.595459
-0.17886773	-0.58537543	22.695557
-0.18063803	2.0453734	22.795654
-0.18096611	1.1045141	22.895752
-0.18131138	1.9083014	22.99585
-0.18363634	-2.7574246	23.095947
-0.18455856	-3.8591232	23.196045
-0.18543801	-5.0286407	23.296143
-0.18746844	-4.8694406	23.39624
-0.18729816	-2.6103127	23.496338
-0.1853195	-2.7625468	23.596436
-0.18752144	-4.1789579	23.696533
-0.18938349	-7.5688276	23.796631
-0.18976253	-9.4621744	23.896729
-0.19236507	-11.382003	23.996826
-0.19452178	-10.535188	24.096924
-0.19435723	-12.696583	24.197021
-0.19715106	-12.016959	24.297119
-0.1930005	-14.245712	24.397217
-0.19491985	-14.334225	24.497314
-0.19675647	-19.333975	24.597412
-0.19578211	-20.67432	24.69751
-0.19611654	-22.457281	24.797607
-0.19728574	-23.914825	24.897705
-0.19842348	-25.114258	24.997803
-0.1996946	-25.753927	25.0979
-0.20061497	-31.265236	25.197998
-0.20025191	-37.586636	25.298096
-0.20320113	-38.157463	25.398193
-0.20628375	-43.88821	25.498291
-0.20517246	-41.893597	25.598389
-0.20443076	-48.300896	25.698486
-0.2059021	-48.656586	25.798584
-0.20525372	-48.829514	25.898682
-0.20809136	-49.626335	25.998779
-0.20845485	-52.000561	26.098877
-0.2086679	-56.082348	26.198975
-0.20949619	-57.032837	26.299072
-0.210052	-57.48954	26.39917
-0.20944972	-58.051968	26.499268
-0.21258105	-58.771133	26.599365
-0.21180394	-57.554695	26.699463
-0.21222043	-62.082939	26.799561
-0.21152334	-61.785027	26.899658
-0.21468189	-63.015602	26.999756
-0.21566205	-63.287235	27.099854
-0.21617186	-65.961472	27.199951
-0.21780632	-68.599594	27.300049
